"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002139","GO:0002139","stereocilia coupling link","1/96","3/18122",0.015809113806575,0.21008817401651,0.180702504785857,"MYO7A",1
"GO:0034455","GO:0034455","t-UTP complex","1/96","3/18122",0.015809113806575,0.21008817401651,0.180702504785857,"HEATR1",1
"GO:0097513","GO:0097513","myosin II filament","1/96","3/18122",0.015809113806575,0.21008817401651,0.180702504785857,"MYH9",1
"GO:0005796","GO:0005796","Golgi lumen","3/96","101/18122",0.0165195767330265,0.21008817401651,0.180702504785857,"MUC3A/MUC12/MUC16",3
"GO:0044441","GO:0044441","ciliary part","6/96","389/18122",0.017318923187572,0.21008817401651,0.180702504785857,"WDR35/MYO7A/TAS2R43/CCDC40/ODF4/DNAH9",6
"GO:0005826","GO:0005826","actomyosin contractile ring","1/96","4/18122",0.0210236579356419,0.21008817401651,0.180702504785857,"MYH9",1
"GO:0030015","GO:0030015","CCR4-NOT core complex","1/96","4/18122",0.0210236579356419,0.21008817401651,0.180702504785857,"CNOT2",1
"GO:0032541","GO:0032541","cortical endoplasmic reticulum","1/96","4/18122",0.0210236579356419,0.21008817401651,0.180702504785857,"ASPH",1
"GO:1990745","GO:1990745","EARP complex","1/96","4/18122",0.0210236579356419,0.21008817401651,0.180702504785857,"VPS50",1
"GO:0030016","GO:0030016","myofibril","4/96","209/18122",0.0250860658571936,0.21008817401651,0.180702504785857,"PDE4DIP/OBSCN/SCO1/IGFN1",4
"GO:0005947","GO:0005947","mitochondrial alpha-ketoglutarate dehydrogenase complex","1/96","5/18122",0.0262108601013437,0.21008817401651,0.180702504785857,"MRPS36",1
"GO:0030430","GO:0030430","host cell cytoplasm","1/96","5/18122",0.0262108601013437,0.21008817401651,0.180702504785857,"SCO1",1
"GO:0033647","GO:0033647","host intracellular organelle","1/96","5/18122",0.0262108601013437,0.21008817401651,0.180702504785857,"SCO1",1
"GO:0033648","GO:0033648","host intracellular membrane-bounded organelle","1/96","5/18122",0.0262108601013437,0.21008817401651,0.180702504785857,"SCO1",1
"GO:0033655","GO:0033655","host cell cytoplasm part","1/96","5/18122",0.0262108601013437,0.21008817401651,0.180702504785857,"SCO1",1
"GO:0071547","GO:0071547","piP-body","1/96","5/18122",0.0262108601013437,0.21008817401651,0.180702504785857,"DDX4",1
"GO:1990393","GO:1990393","3M complex","1/96","5/18122",0.0262108601013437,0.21008817401651,0.180702504785857,"CCDC8",1
"GO:0001725","GO:0001725","stress fiber","2/96","49/18122",0.0277937662123009,0.21008817401651,0.180702504785857,"MICALL2/MYH9",2
"GO:0097517","GO:0097517","contractile actin filament bundle","2/96","49/18122",0.0277937662123009,0.21008817401651,0.180702504785857,"MICALL2/MYH9",2
"GO:0043292","GO:0043292","contractile fiber","4/96","219/18122",0.0291109623209395,0.213757637613756,0.183858709395407,"PDE4DIP/OBSCN/SCO1/IGFN1",4
"GO:0030062","GO:0030062","mitochondrial tricarboxylic acid cycle enzyme complex","1/96","6/18122",0.0313708621673739,0.2179003128923,0.187421936135093,"MRPS36",1
